FilePath	IFD0:ImageDescription	XMP-iptcExt:ArtworkContentDescription	XMP-iptcExt:PersonInImage	XMP-dc:Subject	XMP-dc:Description	XMP-dc:Creator	XMP-photoshop:CaptionWriter	XMP-photoshop:City	XMP-photoshop:State	XMP-photoshop:Country	XMP-iptcCore:Location	XMP-iptcCore:CountryCode	XMP-iptcCore:SubjectCode	XMP-iptcCore:ExtDescrAccessibility	XMP-lr:HierarchicalSubject	IPTC:CodedCharacterSet	IPTC:ApplicationRecordVersion	IPTC:Keywords	IPTC:City	IPTC:Sub-location	IPTC:Province-State	IPTC:Country-PrimaryLocationCode	IPTC:Country-PrimaryLocationName	IPTC:Caption-Abstract	IPTC:Writer-Editor
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P10_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 10, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P11_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 11, Scan S01 of 3 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P11_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 11, Scan S02 of 3 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P11_S03.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 11, Scan S03 of 3 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P12_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 12, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P12_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 12, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P13_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 13, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P13_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 13, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P14_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 14, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P14_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 14, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P15_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 15, Scan S01 of 3 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P15_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 15, Scan S02 of 3 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P15_S03.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 15, Scan S03 of 3 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P16_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 16, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
